"","height","position","breathingBeltRespiration","sensorRespiration","percentError","deviation"
"283",4,"Front",7.43187427520752,7.33385430191739,-0.0131891323319504,0.0980199732901301
"284",4,"Front",7.69888782501221,7.82008056763143,0.015741590912065,-0.12119274261922
"285",4,"Front",7.32899045944214,10.5970794650754,0.445912574687949,-3.26808900563326
"286",4,"Front",8.43486404418945,7.0455708250525,-0.16470843061116,1.38929321913695
"287",4,"Front",9.0361442565918,5.331621425625,-0.409967207890066,3.7045228309668
"288",4,"Front",7.73195886611938,7.35689507873506,-0.0485082491873838,0.37506378738432
"289",4,"Front",7.73195886611938,7.29495881027027,-0.0565186731352126,0.437000055849111
"290",4,"Front",5.24017477035522,8.73527086318034,0.666980825257512,-3.49509609282512
"291",4,"Front",9.06344413757324,9.41471585660689,0.0387569795435075,-0.351271719033649
"292",4,"Front",4.9423394203186,6.43843791705439,0.302710593000783,-1.49609849673579
"293",4,"Front",4.78850746154785,6.16435555728188,0.28732295120812,-1.37584809573403
"294",4,"Front",3.27868843078613,6.53536051918147,0.993285015378692,-3.25667208839534
"295",4,"Front",8.51063823699951,3.67489936139642,-0.568199321947441,4.83573887560309
"296",4,"Front",8.53080558776855,5.33770481381335,-0.374302372865402,3.1931007739552
"297",4,"Front",8.70827293395996,8.6110692063437,-0.0111622279587943,0.0972037276162592
"298",4,"Front",8.75273513793945,9.91362659410081,0.132631850257799,-1.16089145616136
"299",4,"Front",8.14479637145996,8.97313660741455,0.101701773522192,-0.828340235954592
"300",4,"Front",7.06436395645142,6.0027581258806,-0.150276208461956,1.06160583057082
"301",4,"Front",6.41711235046387,6.0599664273936,-0.0556552392361423,0.35714592307027
"302",4,"Front",7.46887969970703,7.16608389965659,-0.0405409930571405,0.302795800050441
"303",4,"Back",4.65838527679443,6.92191080469316,0.485903460835323,-2.26352552789873
"304",4,"Back",11.2079696655273,7.96039012434148,-0.289756275052608,3.24757954118582
"305",4,"Back",9.65406227111816,6.52778990563405,-0.323829728635262,3.12627236548411
"306",4,"Back",8.87574005126953,6.25574211649585,-0.295186420471939,2.61999793477368
"307",4,"Back",10.4803495407104,6.91145050817622,-0.340532442994479,3.56889903253418
"308",4,"Back",11.2443780899048,6.71038609244013,-0.403223011643062,4.53399199746467
"309",4,"Back",12.4069480895996,6.85616127775897,-0.447393409866339,5.55078681184063
"310",4,"Back",11.746280670166,4.48115879742103,-0.618504024954675,7.26512187274497
"311",4,"Back",11.8110237121582,5.2122597041196,-0.558695348418094,6.5987640080386
"312",4,"Back",8.85826778411865,8.96862195230666,0.0124577593359569,-0.11035416818801
"313",4,"Back",8.45070457458496,7.82008205058631,-0.0746236622559512,0.63062252399865
"314",4,"Back",4.78850746154785,6.28978048238509,0.3135158570583,-1.50127302083724
"315",4,"Back",11.1731843948364,6.78149151515133,-0.393056511419847,4.39169287968507
"316",4,"Back",11.8577079772949,9.46179007121332,-0.202055735448139,2.39591790608158
"317",4,"Back",7.37100744247437,4.99598614706321,-0.322211219286721,2.37502129541116
"318",4,"Back",6.92307662963867,5.95492309880004,-0.139844404826292,0.96815353083863
"319",4,"Back",6.38297891616821,9.20859303496569,0.442679531909489,-2.82561411879748
"320",4,"Back",6.1099796295166,7.04359570427782,0.152801830999735,-0.93361607476122
"321",4,"Back",7.43801641464233,6.51907292404255,-0.123546848967793,0.918943490599781
"322",4,"Back",8.22669124603271,7.54269206404063,-0.0831438985049956,0.683999181992079
"323",4,"Back",8.13008117675781,7.37894376461915,-0.0923899031028134,0.751137412138661
"324",4,"Back",9.07715606689453,8.79062442409125,-0.0315662351392518,0.286531642803279
"325",4,"Back",10.6571931838989,8.96457311206873,-0.158824189692593,1.69262007183017
"326",4,"Back",2.87907862663269,7.14724593333507,1.48247681297066,-4.26816730670238
"327",4,"Back",8.83652400970459,9.33796332044861,0.0567462171995823,-0.50143931074402
"328",4,"Back",8.57960033416748,6.5245639835636,-0.23952588355659,2.05503635060388
"329",4,"Back",10.4895105361938,4.76638341901688,-0.545604782742666,5.72312711717692
"330",4,"Back",11.9426755905151,3.37332214047892,-0.717540502970874,8.56935345003618
"331",4,"Back",7.63358783721924,4.99347219280376,-0.345855147109596,2.64011564441548
