"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)"
,,,,,,54.600000000000001,3.2830352783203125,
,,,,,,54.700000000000003,3.2702560424804688,
,,,,,,54.799999999999997,3.2242660522460938,
,,,,,,54.899999999999999,3.1322860717773438,
,,,,,,55,3.0326461791992188,
,,,,,,55.100000000000001,3.0224227905273438,
,,,,,,55.200000000000003,3.0786361694335938,
,,,,,,55.299999999999997,3.111846923828125,
,,,,,,55.399999999999999,3.1246261596679688,
,,,,,,55.5,3.1144027709960938,
,,,,,,55.600000000000001,3.093963623046875,
,,,,,,55.700000000000003,3.093963623046875,
,,,,,,55.799999999999997,3.1195144653320312,
,,,,,,55.899999999999999,3.150177001953125,
,,,,,,56,3.1833877563476562,
,,,,,,56.100000000000001,3.2166061401367188,
,,,,,,56.200000000000003,3.2472610473632812,
,,,,,,56.299999999999997,3.2523727416992188,
,,,,,,56.399999999999999,3.2472610473632812,
,,,,,,56.5,3.2549285888671875,
,,,,,,56.600000000000001,3.2549285888671875,
,,,,,,56.700000000000003,3.23193359375,
,,,,,,56.799999999999997,3.1961669921875,
,,,,,,56.899999999999999,3.1808319091796875,
,,,,,,57,3.1629486083984375,
,,,,,,57.100000000000001,3.1578369140625,
,,,,,,57.200000000000003,3.168060302734375,
,,,,,,57.299999999999997,3.1808319091796875,
,,,,,,57.399999999999999,3.2191619873046875,
,,,,,,57.5,3.2804794311523438,
,,,,,,57.600000000000001,3.3469085693359375,
,,,,,,57.700000000000003,3.4082260131835938,
,,,,,,57.799999999999997,3.4823226928710938,
,,,,,,57.899999999999999,3.5743026733398438,
,,,,,,58,3.5461959838867188,
,,,,,,58.100000000000001,3.47210693359375,
,,,,,,58.200000000000003,3.5691909790039062,
,,,,,,58.299999999999997,3.7889251708984375,
,,,,,,58.399999999999999,3.9907684326171875,
,,,,,,58.5,4.0725326538085938,
,,,,,,58.600000000000001,4.087860107421875,
,,,,,,58.700000000000003,4.1389617919921875,
,,,,,,58.799999999999997,4.2105026245117188,
,,,,,,58.899999999999999,4.2871475219726562,
,,,,,,59,4.3842391967773438,
,,,,,,59.100000000000001,4.3944625854492188,
,,,,,,59.200000000000003,4.2615966796875,
,,,,,,59.299999999999997,4.123626708984375,
,,,,,,59.399999999999999,4.0342025756835938,
,,,,,,59.5,3.94989013671875,
,,,,,,59.600000000000001,3.8604660034179688,
,,,,,,59.700000000000003,3.7761459350585938,
,,,,,,59.799999999999997,3.702056884765625,
,,,,,,59.899999999999999,3.645843505859375,
,,,,,,60,3.599853515625,12.214983940124512
,,,,,,60.100000000000001,3.5691909790039062,
,,,,,,60.200000000000003,3.5436477661132812,
,,,,,,60.299999999999997,3.518096923828125,
,,,,,,60.399999999999999,3.4848785400390625,
,,,,,,60.5,3.4516677856445312,
,,,,,,60.600000000000001,3.43377685546875,
,,,,,,60.700000000000003,3.4210052490234375,
,,,,,,60.799999999999997,3.387786865234375,
,,,,,,60.899999999999999,3.3290252685546875,
,,,,,,61,3.2804794311523438,
,,,,,,61.100000000000001,3.2523727416992188,
,,,,,,61.200000000000003,3.23193359375,
,,,,,,61.299999999999997,3.2242660522460938,
,,,,,,61.399999999999999,3.203826904296875,
,,,,,,61.5,3.1731719970703125,
,,,,,,61.600000000000001,3.1552810668945312,
,,,,,,61.700000000000003,3.1425094604492188,
,,,,,,61.799999999999997,3.13995361328125,
,,,,,,61.899999999999999,3.1450653076171875,
,,,,,,62,3.150177001953125,
,,,,,,62.100000000000001,3.1527252197265625,
,,,,,,62.200000000000003,3.1603927612304688,
,,,,,,62.299999999999997,3.1706161499023438,
,,,,,,62.399999999999999,3.1782760620117188,
,,,,,,62.5,3.1655044555664062,
,,,,,,62.600000000000001,3.1527252197265625,
,,,,,,62.700000000000003,3.13995361328125,
,,,,,,62.799999999999997,3.1246261596679688,
,,,,,,62.899999999999999,3.1195144653320312,
,,,,,,63,3.1271820068359375,
,,,,,,63.100000000000001,3.13995361328125,
,,,,,,63.200000000000003,3.1527252197265625,
,,,,,,63.299999999999997,3.1578369140625,
,,,,,,63.399999999999999,3.1706161499023438,
,,,,,,63.5,3.17572021484375,
,,,,,,63.600000000000001,3.1884994506835938,
,,,,,,63.700000000000003,3.2344894409179688,
,,,,,,63.799999999999997,3.2983627319335938,
,,,,,,63.899999999999999,3.387786865234375,
,,,,,,64,3.4925460815429688,
,,,,,,64.099999999999994,3.5870819091796875,
